,X,Y
0,81.82233883353626,1
1,92.48787006227205,0
2,85.37245988248749,0
3,78.8280253083018,0
4,75.80708038270474,1
5,92.39368286130973,0
6,80.25433531066467,1
7,86.29626717381632,0
8,76.29609949243893,0
9,89.14486331483752,1
10,76.36092945359327,1
11,81.23020488878552,1
12,89.30811119719117,0
13,67.21225940981012,0
14,99.54229819082286,0
15,88.96968731334616,0
16,76.12264758034132,1
17,86.99136795928993,1
18,66.0981124338872,0
19,88.81525953472506,0
20,83.05952836223108,0
21,59.956133198366594,0
22,69.64937594466812,0
23,87.06624151558128,0
24,76.69943537746086,1
25,76.41853431668903,0
26,78.8751325136845,0
27,72.17934946239924,0
28,70.24446809982385,0
29,71.38205496807383,1
30,83.77157996450514,1
31,71.50555006065996,0
32,84.92968671652824,0
33,95.67477344503786,1
34,89.87871305992174,1
35,92.59810856689107,1
36,82.34148042198393,1
37,79.73056345887846,1
38,98.74570139865477,1
39,89.50900404201408,0
40,91.38129330614771,1
41,92.63428558355754,1
42,87.73251225074826,0
43,90.7795113429425,1
44,91.69278509603276,0
45,95.01677154779381,1
46,72.27924688866798,0
47,75.01673090522092,0
48,79.5608052844955,0
49,68.04818705513752,0
50,83.16113614520211,0
51,91.08753119959145,1
52,95.80258200078245,1
53,100.0,1
54,66.92785196128195,0
55,72.95530163802687,0
56,85.49607391345299,1
57,84.70841854974091,0
58,66.31094270369695,0
59,74.780916918616,1
60,99.33158936755648,0
61,81.30059418788257,1
62,82.99662639340251,1
63,60.78704400418502,0
64,81.20589142919346,1
65,75.6435962689102,0
66,63.13946843495055,0
67,95.78059082009014,1
68,91.22593457088175,0
69,78.6120132765514,0
70,71.73795464858094,0
71,91.51065785550338,1
72,88.46353566440666,1
73,91.37534633015343,0
74,71.63148163171519,1
75,88.21249534077151,0
76,79.18027527493052,1
77,78.00115345715095,0
78,81.77343652496572,1
79,80.18181750876414,1
80,72.4391477204877,0
81,66.62391725402088,0
82,65.50176421957504,1
83,77.35281261432958,0
84,85.90505503599418,1
85,80.3119872466452,1
86,94.54612538535673,1
87,84.98874864377207,1
88,100.0,1
89,84.17067092986501,0
90,91.06790817952647,0
91,73.5029052558581,0
92,84.91291489316384,0
93,80.23675779929954,0
94,76.11295061403004,1
95,87.33377303062335,1
96,84.28970925567843,0
97,80.10560954669404,0
98,75.51156459964236,0
99,78.66434143071834,0
100,79.68855944059828,0
101,66.07661591909891,1
102,80.61408210442829,1
103,73.96902274688412,0
104,78.69893171728701,0
105,91.19928329941587,1
106,73.69172590192744,0
107,89.10805810188175,1
108,85.07311397117093,1
109,74.1330921263676,0
110,80.49409124256344,1
111,91.87808582891581,1
112,72.98768552279834,1
113,94.31803951546145,0
