,Z,X,Y
0,0.5488135039273248,0,-0.8232202558909871
1,0.7151893663724195,1,0.8424053168137903
2,0.6027633760716439,1,0.8986183119641781
3,0.5448831829968969,0,-0.8173247744953454
4,0.4236547993389047,0,-0.635482199008357
5,0.6458941130666561,0,-0.9688411695999841
6,0.4375872112626925,0,-0.6563808168940388
7,0.8917730007820798,1,0.7541134996089601
8,0.9636627605010293,1,0.7181686197494854
9,0.3834415188257777,1,1.008279240587111
10,0.7917250380826646,1,0.8041374809586677
11,0.5288949197529045,1,0.9355525401235477
12,0.5680445610939323,1,0.9159777194530337
13,0.925596638292661,1,0.7372016808536694
14,0.07103605819788694,0,-0.10655408729683041
15,0.08712929970154071,0,-0.13069394955231106
16,0.02021839744032572,0,-0.03032759616048858
17,0.832619845547938,1,0.783690077226031
18,0.7781567509498505,1,0.8109216245250747
19,0.8700121482468192,1,0.7649939258765904
20,0.978618342232764,1,0.7106908288836179
21,0.7991585642167236,1,0.800420717891638
22,0.46147936225293185,1,0.969260318873534
23,0.7805291762864555,0,-1.1707937644296833
24,0.11827442586893322,0,-0.17741163880339983
25,0.6399210213275238,0,-0.9598815319912857
26,0.1433532874090464,0,-0.2150299311135696
27,0.9446689170495839,1,0.727665541475208
28,0.5218483217500717,0,-0.7827724826251075
29,0.4146619399905236,0,-0.6219929099857854
30,0.26455561210462697,0,-0.39683341815694045
31,0.7742336894342167,1,0.8128831552828916
32,0.45615033221654855,1,0.9719248338917257
33,0.5684339488686485,0,-0.8526509233029728
34,0.018789800436355142,0,-0.028184700654532713
35,0.6176354970758771,1,0.8911822514620614
36,0.6120957227224214,1,0.8939521386387893
37,0.6169339968747569,1,0.8915330015626215
38,0.9437480785146242,1,0.728125960742688
39,0.6818202991034834,1,0.8590898504482583
40,0.359507900573786,0,-0.539261850860679
41,0.43703195379934145,0,-0.6555479306990122
42,0.6976311959272649,1,0.8511844020363676
43,0.06022547162926983,0,-0.09033820744390475
44,0.6667667154456677,1,0.8666166422771661
45,0.6706378696181594,1,0.8646810651909203
46,0.2103825610738409,0,-0.31557384161076135
47,0.1289262976548533,0,-0.19338944648227996
48,0.31542835092418386,0,-0.4731425263862758
49,0.3637107709426226,1,1.0181446145286888
50,0.5701967704178796,1,0.9149016147910601
51,0.43860151346232035,0,-0.6579022701934805
52,0.9883738380592262,1,0.7058130809703869
53,0.10204481074802807,0,-0.1530672161220421
54,0.2088767560948347,1,1.0955616219525828
