,time,value1,value2,value3
0,0,1.764052345967664,1.8831506970562544,-0.3691818379424436
1,1,0.4201572083672233,-1.3277590611424464,-0.2193791775759264
2,2,1.0187379841057391,-1.2304849984857336,1.1396595958871132
3,3,2.300893199201458,1.029396708158011,0.7152637307225977
4,4,1.9475579901499676,-1.0931234051141598,0.720131526097592
5,5,-0.877277879876411,2.0436211856492927,-1.5169560443108343
6,6,1.0700884175255894,-0.29361898075974735,0.09567387560106436
7,7,-0.011357208297697874,-0.6074548114407577,-0.5980309092056887
8,8,0.05678114820644216,2.0829420264803846,0.4399245990432382
9,9,0.5905985019383724,1.6605147914344243,0.08184961035704205
10,10,0.344043571160878,2.06755896042657,1.110178908092592
11,11,1.674273506962975,1.1260446582753854,0.5372182151913021
12,12,1.0010377251469933,-0.6212256850547025,1.0263279621089763
13,13,0.3816750164928284,2.1700649530990335,-0.20641909673594305
14,14,0.7238632327454257,0.011996629048619645,-0.6644462559182504
15,15,0.6336743273742669,1.102456395796395,-0.11004969320254848
16,16,1.8140790731576062,1.267251967773748,0.3029795861385594
17,17,0.13484173623419915,0.18498990690916584,0.7191517355550818
18,18,0.6730677016509014,0.9740793703460803,2.619308950690852
19,19,-0.4740957393017248,1.3022066715665268,0.3377428483393573
20,20,-2.152989815834079,0.7764255311556294,-0.555945000492777
21,21,1.0736185954403605,-0.6794007905841946,0.07401822430061356
22,22,1.3044361988595057,0.738238174206056,-0.023595974646094198
23,23,-0.2821650204064419,1.7863858966870303,0.9414814737734623
24,24,2.7497546239876076,-0.2145678597313655,-1.0607970144446248
25,25,-0.9543656745987648,0.35036545967232924,0.5632619942003317
26,26,0.5657585173014461,0.08484644827836257,0.6765065379653756
27,27,0.35281614997416644,2.389263728479342,0.7721810362002758
28,28,2.0927792143584574,1.2322947570124354,-0.03731606896536266
29,29,2.049358769900285,0.9874618362411104,0.34207827026399296
30,30,0.7549474256969163,-0.16991607444531642,-0.8240609089825316
31,31,0.9981625196021735,1.1592491912918172,0.12668011663780593
32,32,-0.24778574763011274,-0.03433266065737606,0.09713852398328227
33,33,-1.3207964682239268,0.6918305582743512,1.0760500462614255
34,34,0.33208785067384744,0.044153921621119085,-0.47618243182191267
35,35,0.8563489691039801,1.3764332949464997,1.4811981017099933
36,36,1.9502906807277207,1.296590816614941,2.214484544491369
37,37,1.9423798487844113,0.5317012444220051,-1.3299850250135326
38,38,0.37267318259204774,1.1560067126616453,1.186258730778101
39,39,0.47769724942466446,-0.31306150873050576,1.4569080350302457
40,40,-0.24855296506709257,-0.6912575927056055,0.162562974447771
41,41,-0.6000179371789751,1.259391701264537,0.4227281856712024
42,42,-0.8662701906250126,1.006673495372529,0.7071194224130444
43,43,2.8107753952317895,1.4950314368921065,0.5622091205982717
44,44,0.3703478182483465,3.263144774863942,0.5709870309528777
